# 117-nodes power network with 188 branches
# Author: Jakub Wrzosek
# Created: 2023-01-09 14:25:40
# with peak: 20189.963

set BUSES := B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B21 B22 B23 B24 B25 B26 B27 B28 B29 B30 B31 B32 B33 B34 B35 B36 B37 B38 B39 B40 B41 B42 B43 B44 B45 B46 B47 B48 B49 B50 B51 B52 B53 B54 B55 B56 B57 B58 B59 B60 B61 B62 B63 B64 B65 B66 B67 B68 B69 B70 B71 B72 B73 B74 B75 B76 B77 B78 B79 B80 B81 B82 B83 B84 B85 B86 B87 B88 B89 B90 B91 B92 B93 B94 B95 B96 B97 B98 B99 B100 B101 B102 B103 B104 B105 B106 B107 B108 B109 B110 B111 B112 B113 B114 B115 B116 B117;

set GENERATORS := J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 J25 J26 J27 J28 J29 J30 J31 J32 J33 J34 J35 J36 J37 J38 J39 J40 J41 J42 J43 J44 J45 J46 J47 J48 J49 J50 J51 J52 J53 J54 J55 J56 J57 J58 J59 J60 J61 J62 J63 J64 J65 J66 J67 J68 J69 J70 J71 J72 J73 J74 J75 J76 J77 J78 J79 J80 J81 J82 J83 J84 J85 J86 J87 J88 J89 J90 J91 J92 J93 J94 J95 J96 J97 J98 J99 J100;

set HOURS := H1;

param:          Ka_gen       :=
    J1          369
    J2          369
    J3          369
    J4          369
    J5          219
    J6          377
    J7          369
    J8          369
    J9          219
    J10         369
    J11         369
    J12         371
    J13         610
    J14         554
    J15         554
    J16         590
    J17         590
    J18         590
    J19         339
    J20         458
    J21         543
    J22         535
    J23         515
    J24         526
    J25         538
    J26         433
    J27         433
    J28         433
    J29         433
    J30         433
    J31         378
    J32         384
    J33         385
    J34         376
    J35         380
    J36         379
    J37         385
    J38         342
    J39         582
    J40         472
    J41         472
    J42         610
    J43         582
    J44         388
    J45         821
    J46         821
    J47         421
    J48         339
    J49         339
    J50         433
    J51         405
    J52         427
    J53         458
    J54         466
    J55         466
    J56         380
    J57         251
    J58         458
    J59         390
    J60         390
    J61         390
    J62         390
    J63         390
    J64         390
    J65         590
    J66         590
    J67         590
    J68         590
    J69         458
    J70         477
    J71         571
    J72         1211
    J73         469
    J74         490
    J75         377
    J76         382
    J77         472
    J78         472
    J79         472
    J80         590
    J81         590
    J82         590
    J83         590
    J84         260
    J85         458
    J86         458
    J87         458
    J88         554
    J89         554
    J90         554
    J91         665
    J92         251
    J93         590
    J94         590
    J95         590
    J96         590
    J97         590
    J98         590
    J99         590
    J100        260
    ;

param p_ajhMax :=
[*,*,H1]:       J1          J2          J3          J4          J5          J6          J7          J8          J9          J10         J11         J12         J13         J14         J15         J16         J17         J18         J19         J20         J21         J22         J23         J24         J25         J26         J27         J28         J29         J30         J31         J32         J33         J34         J35         J36         J37         J38         J39         J40         J41         J42         J43         J44         J45         J46         J47         J48         J49         J50         J51         J52         J53         J54         J55         J56         J57         J58         J59         J60         J61         J62         J63         J64         J65         J66         J67         J68         J69         J70         J71         J72         J73         J74         J75         J76         J77         J78         J79         J80         J81         J82         J83         J84         J85         J86         J87         J88         J89         J90         J91         J92         J93         J94         J95         J96         J97         J98         J99         J100         :=
    B1          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0
