# 14-nodes power network with 20 lines
# Author: Jakub Wrzosek
# Created: 2022-12-08 11:37:18

set BUSES := B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14;

set GENS := J1 J2;

set HOURS := H1 H2 H3 H4 H5 H6;

param:      Ka_load     Ka_gen      V            :=
	B1		127         107         1.06
	B2		76          56          1.045
	B3		185         165         1.01
	B4		266         246         1.019
	B5		202         182         1.02
	B6		132         112         1.07
	B7		174         154         1.062
	B8		218         198         1.09
	B9		75          55          1.056
	B10		207         187         1.051
	B11		181         161         1.057
	B12		253         233         1.055
	B13		292         272         1.05
	B14		166         146         1.036
	;

param Pa_load:
            H1          H2          H3          H4          H5          H6           :=
	B1		0.000       0.000       0.000       0.000       0.000       0.000
	B2		13.888      13.020      12.586      12.152      12.152      12.586
	B3		60.288      56.520      54.636      52.752      52.752      54.636
	B4		30.592      28.680      27.724      26.768      26.768      27.724
	B5		4.864       4.560       4.408       4.256       4.256       4.408
	B6		7.168       6.720       6.496       6.272       6.272       6.496
	B7		0.000       0.000       0.000       0.000       0.000       0.000
	B8		0.000       0.000       0.000       0.000       0.000       0.000
	B9		18.880      17.700      17.110      16.520      16.520      17.110
	B10		5.760       5.400       5.220       5.040       5.040       5.220
	B11		2.240       2.100       2.030       1.960       1.960       2.030
	B12		3.904       3.660       3.538       3.416       3.416       3.538
	B13		8.640       8.100       7.830       7.560       7.560       7.830
	B14		9.536       8.940       8.642       8.344       8.344       8.642
	;

param p_jhMax :=
[*,*,H1]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

[*,*,H2]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

[*,*,H3]:   J1          J2           :=
	B1		232.4       0.0
	B2		0.0         40.0
	B3		0.0         0.0
	B4		0.0         0.0
	B5		0.0         0.0
	B6		0.0         0.0
	B7		0.0         0.0
	B8		0.0         0.0
	B9		0.0         0.0
	B10		0.0         0.0
	B11		0.0         0.0
	B12		0.0         0.0
	B13		0.0         0.0
	B14		0.0         0.0

